vertices,redexes,redex_depths,redex_indexes,heights,widths,steps_time,strategy_name
53,3,4,12,15,21,131224,LI
50,2,5,27,15,20,187277,LI
27,1,1,1,8,10,32085,LI
54,6,7,10,13,17,179030,LI
51,6,11,16,14,16,179197,LI
48,5,6,26,12,15,177970,LI
45,4,5,21,12,14,148887,LI
42,3,2,2,12,13,83877,LI
39,4,7,10,15,12,141598,LI
44,3,3,37,14,13,107505,LI
41,2,2,34,14,12,92025,LI
38,1,1,1,14,11,49857,LI
39,1,2,2,12,11,42678,LI
40,1,2,2,12,11,43866,LI
42,1,2,2,12,11,50979,LI
33,1,1,1,12,9,36277,LI
56,1,1,1,13,15,61335,LI
56,5,3,5,10,18,107860,LI
53,4,2,2,10,17,78577,LI
50,4,5,28,10,16,163532,LI
47,4,7,35,10,15,252020,LI
44,3,4,27,8,14,132212,LI
45,3,4,27,9,13,144119,LI
37,3,3,26,8,12,89600,LI
33,3,3,29,8,11,86043,LI
30,2,2,25,8,10,68837,LI
26,1,1,1,8,9,34381,LI
29,4,5,7,7,8,130183,LI
26,4,4,6,7,7,68074,LI
23,4,3,5,6,6,49790,LI
18,4,4,9,5,5,82222,LI
15,4,4,11,5,4,64125,LI
12,3,3,8,4,3,31597,LI
9,2,2,4,4,2,18073,LI
5,1,1,1,2,1,5985,LI
58,5,8,9,12,19,209072,LI
52,4,5,6,12,17,163718,LI
43,3,11,34,12,14,266170,LI
40,2,3,9,11,13,122067,LI
14,1,2,2,6,3,52888,LI
14,1,2,2,7,2,51411,LI
6,1,1,1,3,1,7577,LI
59,4,5,6,13,23,105068,LI
56,3,5,11,13,22,89311,LI
53,2,9,22,13,21,277857,LI
50,1,6,42,12,20,163312,LI
52,6,7,9,12,20,200367,LI
49,5,10,20,12,19,339049,LI
45,4,6,14,11,18,209313,LI
42,3,8,23,11,17,263629,LI
39,2,9,29,10,16,252035,LI
36,1,1,1,10,15,59984,LI
45,8,4,6,9,14,139538,LI
42,8,4,8,9,13,70989,LI
39,7,3,5,9,12,56706,LI
36,7,5,11,9,11,93202,LI
33,6,4,8,9,10,163721,LI
30,6,7,16,9,9,121187,LI
27,5,6,13,9,8,98280,LI
24,5,6,15,9,7,90267,LI
21,4,5,12,8,6,109018,LI
18,4,4,11,7,5,53203,LI
15,4,4,11,5,4,60596,LI
12,3,3,7,5,3,27878,LI
8,2,2,4,3,2,14102,LI
5,1,1,1,2,1,5258,LI
55,6,6,8,27,18,117501,LI
52,5,22,40,27,17,466370,LI
49,4,12,20,27,16,288839,LI
21,3,5,9,11,6,87058,LI
18,2,4,6,9,5,41488,LI
6,1,3,3,4,1,11221,LI
52,7,9,21,13,19,158413,LI
49,6,7,12,13,18,125211,LI
40,5,12,23,13,14,273924,LI
37,4,9,20,12,13,154865,LI
34,4,8,19,10,12,127170,LI
31,4,7,18,10,11,103954,LI
28,3,8,23,10,10,107529,LI
24,2,3,5,8,9,48279,LI
32,1,1,1,9,13,24843,LI
51,6,12,15,21,17,404582,LI
48,5,19,26,21,16,394558,LI
45,4,14,20,19,15,329715,LI
42,3,12,16,17,14,277153,LI
32,2,9,10,11,11,198982,LI
29,1,3,3,10,10,72358,LI
55,6,14,19,15,20,409272,LI
52,5,11,14,14,19,468991,LI
46,4,9,15,14,17,220162,LI
41,3,13,27,14,15,262027,LI
38,2,11,34,12,14,271315,LI
35,1,10,29,12,13,202077,LI
56,5,5,5,21,18,182782,LI
53,4,3,3,21,17,101153,LI
50,3,20,41,21,16,448815,LI
47,2,17,35,19,15,369572,LI
42,1,14,29,17,14,269351,LI
39,1,13,28,16,13,252368,LI
59,9,20,36,21,19,636158,LI
56,8,20,38,21,18,546376,LI
52,7,18,34,19,17,447576,LI
48,6,12,24,17,16,327329,LI
36,5,9,21,11,11,191908,LI
33,5,8,20,9,10,160674,LI
30,4,7,17,9,9,130550,LI
27,3,6,13,9,8,106854,LI
24,2,4,4,9,7,75878,LI
21,3,6,6,8,6,67078,LI
18,2,3,3,7,5,39551,LI
13,2,4,8,5,3,41059,LI
10,1,2,2,5,2,17995,LI
53,3,16,22,18,20,533725,LI
48,2,12,17,15,19,378204,LI
45,2,11,16,13,18,327694,LI
42,1,2,2,11,17,105159,LI
52,7,4,4,10,16,172517,LI
49,7,9,13,10,15,338415,LI
46,7,8,12,10,14,270959,LI
43,7,9,15,10,13,267772,LI
40,7,8,14,9,12,225740,LI
37,6,7,11,9,11,193385,LI
34,6,6,10,9,10,162870,LI
31,5,5,7,9,9,181477,LI
28,5,7,14,9,8,172595,LI
25,5,7,17,8,7,139311,LI
22,4,6,13,8,6,111948,LI
18,3,5,10,6,5,77370,LI
15,2,4,6,6,4,55035,LI
11,1,3,3,4,3,30154,LI
8,1,2,2,3,2,15615,LI
5,1,1,1,2,1,6636,LI
53,2,14,24,19,22,469983,LI
36,2,13,23,15,14,223785,LI
31,1,5,8,13,12,108364,LI
54,5,20,27,22,17,669752,LI
51,4,18,25,20,16,545048,LI
48,3,18,28,19,15,413774,LI
45,2,11,16,19,14,289773,LI
42,1,3,3,17,13,68935,LI
56,8,13,21,14,19,302839,LI
53,7,10,16,12,18,168988,LI
50,6,8,11,11,17,131875,LI
41,5,8,24,9,13,141454,LI
38,4,5,21,8,12,127164,LI
36,4,5,21,8,11,98340,LI
33,3,4,18,8,10,78979,LI
30,3,3,17,8,9,64525,LI
27,3,3,22,8,8,63923,LI
24,2,2,16,8,7,48577,LI
23,2,2,16,8,6,45273,LI
17,1,1,1,8,5,20850,LI
18,3,5,9,7,4,53107,LI
15,2,4,6,7,3,36380,LI
12,2,3,5,7,2,25136,LI
9,1,1,1,6,1,8442,LI
52,6,9,17,15,16,166781,LI
49,5,5,7,13,15,101377,LI
33,4,4,4,9,9,37214,LI
30,3,4,9,9,8,88000,LI
27,3,4,16,9,7,87592,LI
24,2,3,8,8,6,64183,LI
27,3,5,17,10,6,96041,LI
24,2,3,8,8,5,63687,LI
15,2,2,7,6,3,31044,LI
12,2,2,7,5,2,23876,LI
9,1,1,1,5,1,10399,LI
59,4,9,13,17,21,309653,LI
56,4,9,15,17,20,246234,LI
53,3,8,12,16,19,209084,LI
33,2,6,15,12,12,123341,LI
30,1,6,26,10,11,110260,LI
56,7,16,19,17,17,349266,LI
53,6,9,12,16,16,281628,LI
48,5,7,10,14,15,221344,LI
45,5,7,18,12,14,213110,LI
42,5,8,19,12,13,193383,LI
